W,cls,n_windows,proportion
1,Harvest,232769,0.01141
1,Development,12596,0.00062
1,Forest,10569560,0.51799
1,Urban,661146,0.0324
1,Water,1725908,0.08458
1,Agriculture,3110297,0.15243
1,Grass/Shrub,1768935,0.08669
1,Wetland,2247007,0.11012
1,Beaver,8021,0.00039
1,Insect/Disease,68738,0.00337
3,Harvest,25747,0.01142
3,Development,1427,0.00063
3,Forest,1170848,0.51953
3,Urban,66681,0.02959
3,Water,190998,0.08475
3,Agriculture,344740,0.15297
3,Grass/Shrub,195622,0.0868
3,Wetland,249104,0.11053
3,Beaver,885,0.00039
3,Insect/Disease,7628,0.00338
5,Harvest,9243,0.01146
5,Development,475,0.00059
5,Forest,419136,0.5197
5,Urban,23764,0.02947
5,Water,68412,0.08483
5,Agriculture,123314,0.1529
5,Grass/Shrub,70028,0.08683
5,Wetland,89083,0.11046
5,Beaver,338,0.00042
5,Insect/Disease,2699,0.00335
7,Harvest,4775,0.01153
7,Development,264,0.00064
7,Forest,214976,0.51932
7,Urban,12183,0.02943
7,Water,35152,0.08492
7,Agriculture,63245,0.15278
7,Grass/Shrub,36104,0.08722
7,Wetland,45707,0.11041
7,Beaver,175,0.00042
7,Insect/Disease,1379,0.00333
9,Harvest,2841,0.01155
9,Development,159,0.00065
9,Forest,127641,0.51894
9,Urban,7341,0.02985
9,Water,20830,0.08469
9,Agriculture,37715,0.15334
9,Grass/Shrub,21291,0.08656
9,Wetland,27198,0.11058
9,Beaver,94,0.00038
9,Insect/Disease,854,0.00347
