class_a,class_b,disagree_px,pct_of_all_disagreement
Forest,Wetland,400900,21.76
Agriculture,Grass/Shrub,330945,17.96
Grass/Shrub,Forest,262397,14.24
Grass/Shrub,Wetland,258852,14.05
Agriculture,Wetland,133567,7.25
Urban,Agriculture,84972,4.61
Agriculture,Forest,79836,4.33
Water,Wetland,65406,3.55
Forest,Insect/Disease,39630,2.15
Forest,Water,30781,1.67
Forest,Harvest,24137,1.31
Urban,Wetland,23938,1.3
Urban,Grass/Shrub,19149,1.04
Grass/Shrub,Harvest,11843,0.64
Urban,Unknown,10341,0.56
Urban,Forest,7450,0.4
Wetland,Harvest,7426,0.4
Grass/Shrub,Unknown,5836,0.32
Agriculture,Harvest,4751,0.26
Urban,Water,2819,0.15
Grass/Shrub,Water,2741,0.15
Grass/Shrub,Insect/Disease,2726,0.15
Forest,Beaver,2553,0.14
Agriculture,Development,2496,0.14
Wetland,Unknown,2468,0.13
Forest,Development,2427,0.13
Urban,Development,2078,0.11
Water,Insect/Disease,2025,0.11
Insect/Disease,Beaver,1549,0.08
Wetland,Beaver,1491,0.08
Agriculture,Water,1426,0.08
Unknown,Other,1369,0.07
Wetland,Insect/Disease,1293,0.07
Wetland,Other,1216,0.07
Grass/Shrub,Beaver,1199,0.07
Water,Beaver,1023,0.06
Grass/Shrub,Other,1005,0.05
Agriculture,Insect/Disease,823,0.04
Harvest,Insect/Disease,816,0.04
Urban,Harvest,626,0.03
Agriculture,Beaver,521,0.03
Other,Development,446,0.02
Grass/Shrub,Development,420,0.02
Agriculture,Unknown,409,0.02
Unknown,Harvest,401,0.02
Urban,Other,323,0.02
Agriculture,Other,303,0.02
Forest,Other,271,0.01
Water,Unknown,147,0.01
Unknown,Development,133,0.01
Harvest,Beaver,109,0.01
Urban,Insect/Disease,104,0.01
Forest,Unknown,77,0.0
Other,Harvest,73,0.0
Water,Other,70,0.0
Harvest,Development,62,0.0
Water,Development,42,0.0
Water,Harvest,40,0.0
Wetland,Development,29,0.0
Urban,Beaver,28,0.0
Development,Insect/Disease,15,0.0
