cell_id,lid,area_px,area_ha,shape_index,width_px,extent
06063_s208_t2020,603,12164,121.64,11.581,5.373,0.36
42180_s252_t2019,190,6725,67.25,6.295,7.35,0.598
42291_s134_t2021,128,5955,59.55,6.178,7.047,0.409
08200_s268_t2020,200,5719,57.19,7.677,5.558,0.275
06063_s208_t2020,498,3542,35.42,12.03,2.791,0.233
06063_s208_t2020,1,3317,33.17,8.15,3.987,0.367
08200_s268_t2020,322,3041,30.41,10.303,3.02,0.31
00422_s11_t2018,175,3018,30.18,7.292,4.251,0.304
06143_s58_t2020,49,2925,29.25,8.596,3.55,0.314
06143_s58_t2020,172,2895,28.95,9.144,3.32,0.295
