direction,cls,code,denom_px,strict_3,relaxed_3,delta_3,null_delta_3,delta_net_3,net_lo_3,net_hi_3,strict_5,relaxed_5,delta_5,null_delta_5,delta_net_5,net_lo_5,net_hi_5
AtoB,Urban,0,217617,0.5235,0.6965,0.173,0.1308,0.0421,0.0091,0.0728,0.5235,0.7467,0.2231,0.251,-0.0279,-0.0799,0.0189
AtoB,Agriculture,1,1278290,0.8277,0.9081,0.0804,0.1167,-0.0363,-0.046,-0.0261,0.8277,0.9336,0.1059,0.1728,-0.0669,-0.0811,-0.0536
AtoB,Grass/Shrub,2,646763,0.2818,0.4331,0.1513,0.1385,0.0127,-0.0043,0.0286,0.2818,0.5206,0.2388,0.2434,-0.0046,-0.03,0.0159
AtoB,Forest,3,4077901,0.8919,0.9492,0.0573,0.0936,-0.0363,-0.0434,-0.0299,0.8919,0.9649,0.073,0.1394,-0.0664,-0.077,-0.057
AtoB,Water,4,666896,0.9016,0.9321,0.0306,0.0403,-0.0097,-0.0201,-0.0016,0.9016,0.9456,0.044,0.0715,-0.0274,-0.0512,-0.0128
AtoB,Wetland,5,789033,0.4895,0.6669,0.1774,0.1679,0.0094,-0.0038,0.0224,0.4895,0.7549,0.2654,0.283,-0.0176,-0.0364,0.0002
AtoB,Unknown,10,2866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AtoB,Other,13,18644,0.467,0.5559,0.0889,0.0714,0.0174,-0.0227,0.0346,0.467,0.6014,0.1344,0.1275,0.0069,-0.0857,0.0433
AtoB,Harvest,20,81948,0.6341,0.7437,0.1096,0.1105,-0.0009,-0.0265,0.0194,0.6341,0.7865,0.1523,0.1921,-0.0398,-0.0833,-0.0065
AtoB,Development,30,8415,0.1885,0.3263,0.1378,0.0551,0.0827,0.011,0.1843,0.1885,0.3537,0.1652,0.101,0.0641,0.0121,0.1254
AtoB,Insect/Disease,50,45674,0.1593,0.204,0.0447,0.0651,-0.0204,-0.0655,0.0091,0.1593,0.2194,0.0601,0.1086,-0.0485,-0.1451,0.0075
AtoB,Beaver,62,3899,0.091,0.1698,0.0787,0.0287,0.05,0.0,0.1139,0.091,0.1947,0.1036,0.0619,0.0417,-0.0031,0.0984
BtoA,Urban,0,159465,0.7145,0.8303,0.1158,0.1357,-0.0199,-0.0623,0.0298,0.7145,0.8653,0.1509,0.2618,-0.1109,-0.1629,-0.0482
BtoA,Agriculture,1,1448571,0.7304,0.8599,0.1295,0.1462,-0.0167,-0.0273,-0.0056,0.7304,0.9033,0.1729,0.2184,-0.0455,-0.0606,-0.0325
BtoA,Grass/Shrub,2,586446,0.3108,0.4698,0.159,0.1462,0.0128,-0.001,0.0246,0.3108,0.5586,0.2478,0.2548,-0.007,-0.0321,0.0144
BtoA,Forest,3,4022279,0.9043,0.967,0.0627,0.0971,-0.0344,-0.0417,-0.0278,0.9043,0.9828,0.0786,0.1442,-0.0656,-0.0767,-0.0563
BtoA,Water,4,641456,0.9373,0.9625,0.0252,0.0381,-0.0129,-0.0264,-0.0044,0.9373,0.9698,0.0325,0.0665,-0.034,-0.0616,-0.0194
BtoA,Wetland,5,864558,0.4467,0.5754,0.1286,0.1349,-0.0062,-0.0209,0.009,0.4467,0.64,0.1932,0.2262,-0.033,-0.0544,-0.0107
BtoA,Unknown,10,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtoA,Other,13,19951,0.4364,0.4837,0.0473,0.0623,-0.015,-0.0694,0.011,0.4364,0.5182,0.0818,0.1086,-0.0268,-0.1195,0.0208
BtoA,Harvest,20,67479,0.7701,0.8344,0.0643,0.1003,-0.036,-0.0539,-0.0095,0.7701,0.8566,0.0865,0.1763,-0.0897,-0.1162,-0.0576
BtoA,Development,30,2777,0.5711,0.6086,0.0375,0.0929,-0.0555,-0.1067,0.056,0.5711,0.6226,0.0515,0.1725,-0.121,-0.2034,0.0295
BtoA,Insect/Disease,50,17684,0.4114,0.5366,0.1252,0.1706,-0.0454,-0.0683,-0.0011,0.4114,0.5732,0.1618,0.2855,-0.1238,-0.186,-0.001
BtoA,Beaver,62,5272,0.0673,0.0738,0.0064,0.0134,-0.0069,-0.0703,0.0144,0.0673,0.0787,0.0114,0.0283,-0.0169,-0.1503,0.0187
