change_class,source,n_cells,mean_f1,median_f1,frac_f1_zero
harvest,v2,140,0.0676,0.0,0.6286
harvest,v3,145,0.0336,0.0,0.7103
harvest,v4,150,0.062,0.0,0.5533
harvest,v5,150,0.0117,0.0,0.7333
harvest,v6,168,0.0163,0.0,0.5357
harvest,spec_all,160,0.0477,0.0,0.6125
development,v2,132,0.0255,0.0,0.7121
development,v3,110,0.0031,0.0,0.8364
development,v4,157,0.0219,0.0,0.7197
development,v5,135,0.0021,0.0,0.8148
development,v6,167,0.0057,0.0,0.6886
development,spec_all,158,0.0127,0.0,0.7089
insect_disease,v2,110,0.008,0.0,0.8455
insect_disease,v3,84,0.009,0.0,0.8333
insect_disease,v4,153,0.0062,0.0,0.8431
insect_disease,v5,97,0.0063,0.0,0.8247
insect_disease,v6,168,0.0046,0.0,0.8095
insect_disease,spec_all,165,0.011,0.0,0.8182
beaver,v2,129,0.0069,0.0,0.8217
beaver,v3,121,0.0061,0.0,0.8182
beaver,v4,153,0.0151,0.0,0.8497
beaver,v5,129,0.0044,0.0,0.814
beaver,v6,167,0.0018,0.0,0.8263
beaver,spec_all,162,0.0071,0.0,0.8519
